Date,Dow,France,Germany,S&P 500,Hong Kong,NASDAQ,Korea,Japan,Shanghai,Philadelphia,Taiwan,Future,OpenChange,selfDef,kMeans
2013/1/8,-0.41,0.25,-0.48,-0.32,-0.94,-0.23,0.04,-0.86,-0.41,-1.12,-0.43,-0.47,4.74,0,0
2013/1/9,0.46,0.66,0.32,0.27,0.46,0.45,-0.31,0.67,-0.03,1.05,0.22,0.4,42.34,3,3
2013/1/10,0.6,-0.01,-0.16,0.76,0.59,0.51,0.75,0.7,0.37,1.33,0.94,1.27,31.93,3,3
2013/1/11,0.13,0.32,0.09,0.0,-0.39,0.12,-0.5,1.4,-1.78,0.53,0.1,-0.43,-23.47,1,1
2013/1/15,0.2,-0.18,-0.69,0.11,-0.14,-0.22,-1.16,0.72,0.6,-0.5,-0.75,-1.05,1.07,0,0
2013/1/16,-0.17,0.52,0.2,0.02,-0.1,0.22,-0.32,-2.56,-0.7,1.15,-0.83,-0.34,48.14,3,3
2013/1/17,0.63,1.71,0.58,0.56,-0.07,0.59,-0.16,0.09,-1.06,2.0,-1.09,-0.85,80.64,3,4
2013/1/18,0.39,0.98,-0.43,0.34,1.12,-0.04,0.69,2.86,1.41,-0.46,1.53,1.27,-7.51,0,0
2013/1/22,0.46,0.04,-0.68,0.44,0.29,0.27,0.49,-0.35,-0.56,-0.25,0.44,0.61,14.1,0,0
2013/1/23,0.49,0.04,0.15,0.15,-0.1,0.33,-0.81,-2.08,0.25,1.04,-0.19,-0.32,-27.14,1,1
2013/1/24,0.33,1.02,0.53,0.0,-0.15,-0.74,-0.8,1.28,-0.79,-0.88,-0.62,-0.52,-0.74,0,0
2013/1/25,0.51,1.78,1.42,0.54,-0.08,0.62,-0.91,2.88,-0.49,1.27,-0.3,-0.44,13.09,0,0
2013/1/28,-0.1,0.95,-0.32,-0.18,0.39,0.15,-0.36,-0.94,2.41,0.17,0.55,1.05,29.48,3,3
2013/1/29,0.52,0.39,0.2,0.51,-0.07,-0.02,0.84,0.39,0.53,-0.69,1.13,1.19,30.95,3,3
2013/1/30,-0.32,0.07,-0.47,-0.39,0.71,-0.36,0.43,2.28,1.0,0.2,0.4,-0.15,-0.11,0,0
2013/1/31,-0.36,-0.71,-0.45,-0.26,-0.39,-0.01,-0.13,0.22,0.12,-0.33,0.22,0.67,3.73,0,0
2013/2/1,1.08,1.28,0.74,1.01,-0.03,1.18,-0.21,0.47,1.41,1.89,0.08,0.15,26.79,3,3
2013/2/4,-0.93,-1.9,-2.49,-1.15,-0.16,-1.51,-0.23,0.62,0.38,-1.51,0.86,1.03,-26.49,1,1
