Date,Dow,France,Germany,S&P 500,Hong Kong,NASDAQ,Korea,Japan,Shanghai,Philadelphia,Taiwan,Future,OpenChange,selfDef,kMeans
2014/7/2,0.12,0.32,0.09,0.07,1.55,-0.02,0.81,0.29,0.44,0.17,0.46,0.23,-16.18,0,0
2014/7/3,0.54,1.21,1.19,0.55,-0.08,0.63,-0.21,-0.14,0.19,0.74,0.44,0.59,-0.3,0,0
2014/7/7,-0.26,-1.41,-1.03,-0.39,-0.02,-0.77,-0.23,-0.37,0.03,-0.68,0.11,-0.02,-5.02,0,0
2014/7/8,-0.69,-1.4,-1.35,-0.7,0.0,-1.35,0.08,-0.42,0.2,-0.54,0.11,0.28,-20.98,1,1
2014/7/9,0.47,0.4,0.36,0.46,-1.55,0.63,-0.31,-0.08,-1.23,0.61,-0.43,-0.13,22.91,3,3
2014/7/10,-0.42,-0.64,-1.52,-0.41,0.27,-0.52,0.12,-0.56,-0.01,-0.48,0.79,0.95,-3.41,0,0
2014/7/11,0.17,0.9,0.07,0.15,-0.02,0.44,-0.7,-0.34,0.42,0.06,-0.72,-0.69,1.97,0,0
2014/7/14,0.66,1.17,1.21,0.48,0.49,0.56,0.26,0.88,0.96,0.35,0.26,0.41,38.12,3,3
2014/7/15,0.03,-0.43,-0.65,-0.19,0.49,-0.54,0.94,0.64,0.18,-0.26,0.51,0.4,1.16,0,0
2014/7/16,0.45,1.52,1.44,0.42,0.27,0.22,0.04,-0.1,-0.15,1.14,-0.88,-0.81,-64.62,1,1
2014/7/17,-0.94,-0.16,-1.07,-1.18,-0.01,-1.41,0.37,-0.06,-0.57,-2.52,-0.81,-0.62,-72.86,1,1
2014/7/18,0.73,0.56,-0.35,1.03,-0.28,1.57,-0.07,-1.01,0.17,1.28,-0.08,-0.19,52.81,3,3
2014/7/22,0.36,1.72,1.27,0.5,1.69,0.71,0.52,0.84,1.02,0.67,0.62,0.73,-46.13,1,1
2014/7/24,-0.02,1.24,0.42,0.05,0.71,-0.04,-0.08,-0.29,1.28,-0.84,0.3,0.4,-7.55,0,0
2014/7/25,-0.72,-0.39,-1.53,-0.48,0.31,-0.5,0.36,1.13,1.02,-1.98,-0.93,-0.82,-23.39,1,1
2014/7/28,0.13,0.63,-0.48,0.03,0.88,-0.1,0.74,0.46,2.41,-0.11,-0.2,-0.03,37.62,3,3
2014/7/29,-0.42,1.32,0.58,-0.45,0.87,-0.05,0.64,0.57,0.24,-0.25,-0.3,-0.27,17.74,0,0
2014/7/30,-0.19,-0.46,-0.62,0.01,0.37,0.45,1.0,0.18,-0.09,1.0,0.59,0.6,-10.98,0,0
2014/7/31,-1.88,-1.33,-1.94,-2.0,0.1,-2.09,-0.31,-0.16,0.93,-2.1,-1.39,-1.32,-92.1,1,2
2014/8/1,-0.42,-0.84,-2.1,-0.29,-0.91,-0.39,-0.15,-0.63,-0.74,0.36,-0.53,-0.4,13.78,0,0
2014/8/4,0.46,0.84,-0.61,0.72,0.28,0.72,0.35,-0.31,1.74,0.41,0.69,0.38,-13.37,0,0
2014/8/5,-0.84,0.67,0.39,-0.97,0.2,-0.71,-0.68,-1.0,-0.15,-1.14,-2.02,-2.05,6.92,0,0
2014/8/6,0.08,-0.25,-0.65,0.0,-0.26,0.05,-0.27,-1.05,-0.11,0.4,0.03,0.01,18.68,0,0
2014/8/7,-0.46,-0.47,-1.0,-0.56,-0.8,-0.46,-0.3,0.48,-1.34,-1.37,-0.14,-0.05,-11.24,0,0
2014/8/8,1.13,0.04,-0.33,1.15,-0.23,0.83,-1.14,-2.98,0.31,1.14,-0.5,-0.03,23.87,3,3
2014/8/11,0.1,2.13,1.9,0.28,1.29,0.7,0.41,2.38,1.38,0.96,0.96,0.56,15.94,0,0
2014/8/12,-0.06,-0.08,-1.21,-0.16,0.18,-0.27,0.1,0.2,-0.14,-0.11,-0.11,-0.2,-8.1,0,0
2014/8/13,0.55,1.05,1.43,0.67,0.81,1.02,1.02,0.35,0.06,0.92,0.74,0.84,45.1,3,3
2014/8/14,0.37,0.64,0.29,0.43,-0.36,0.43,0.04,0.66,-0.74,0.21,-0.01,0.21,13.06,0,0
2014/8/18,1.06,1.5,1.68,0.85,0.0,0.97,-0.49,0.03,0.57,0.46,-0.71,-0.66,47.32,3,3
2014/8/19,0.48,1.02,0.96,0.5,0.67,0.43,0.88,0.83,0.26,0.64,1.12,1.08,34.37,3,3
2014/8/20,0.35,0.13,-0.21,0.25,0.15,-0.02,0.08,0.03,-0.23,0.82,0.48,0.41,-1.23,0,0
2014/8/21,0.36,1.79,0.93,0.29,-0.66,0.12,-1.38,0.85,-0.44,0.39,-0.37,-0.29,19.69,0,3
2014/8/22,-0.22,0.49,-0.66,-0.2,0.47,0.14,0.61,-0.3,0.46,0.1,1.37,1.6,13.14,0,0
2014/8/25,0.44,2.56,1.83,0.48,0.22,0.41,0.2,0.48,-0.51,-0.39,0.11,0.14,3.66,0,0
2014/8/26,0.17,2.46,0.82,0.11,-0.37,0.29,0.35,-0.59,-0.99,0.05,0.04,-0.01,32.33,3,3
2014/8/27,0.09,1.41,-0.19,0.0,-0.62,-0.02,0.33,0.09,0.11,0.16,0.98,0.93,13.63,0,0
2014/8/28,-0.25,-0.31,-1.12,-0.17,-0.71,-0.26,0.04,-0.48,-0.62,0.3,-0.08,0.02,-18.56,0,1
2014/8/29,0.11,0.64,0.08,0.33,0.0,0.5,-0.35,-0.23,0.97,0.74,-0.44,-0.05,38.14,3,3
2014/9/2,-0.18,0.46,0.3,-0.05,-0.01,0.39,-0.79,1.24,1.37,-0.42,-1.19,-1.24,35.16,3,3
2014/9/3,0.06,1.11,1.26,-0.08,2.3,-0.56,-0.02,0.38,1.0,0.24,0.54,0.45,-10.59,0,0
2014/9/4,-0.05,2.28,1.02,-0.15,-0.08,-0.22,0.25,-0.33,0.8,0.25,-0.23,-0.25,17.56,0,0
2014/9/11,-0.12,0.13,-0.09,0.09,-0.17,0.12,-0.74,0.76,-0.29,0.25,-0.37,-0.48,1.79,0,0
2014/9/12,-0.36,0.69,-0.41,-0.6,-0.27,-0.53,0.38,0.25,0.88,-1.27,-1.07,-0.6,-16.77,0,0
2014/9/16,0.59,-0.22,-0.28,0.75,-0.91,0.75,0.35,-0.23,-1.82,1.72,-0.91,-0.71,37.64,3,3
2014/9/17,0.15,0.91,0.3,0.13,1.0,0.21,0.96,-0.14,0.49,0.73,0.68,0.21,16.63,0,0
2014/9/18,0.64,0.96,1.41,0.49,-0.85,0.68,-0.72,1.13,0.35,1.47,0.46,0.05,31.41,3,3
2014/9/19,0.08,0.57,0.01,-0.05,0.57,-0.3,0.3,1.58,0.58,-1.19,0.04,0.26,-19.91,0,1
2014/9/22,-0.62,-0.21,-0.51,-0.8,-1.44,-1.14,-0.71,-0.71,-1.7,-1.26,-1.14,-1.46,-0.36,0,0
2014/9/24,0.9,1.43,0.7,0.78,0.35,1.03,0.33,-0.24,1.47,1.2,0.15,0.14,28.27,3,3
2014/9/25,-1.54,0.19,-1.57,-1.62,-0.64,-1.94,-0.08,1.28,0.07,-1.87,-0.96,-1.07,-54.03,1,1
2014/9/26,0.99,1.1,-0.2,0.86,-0.38,1.02,-0.12,-0.88,0.11,1.25,-0.24,-0.51,28.64,3,3
2014/9/29,-0.25,0.4,-0.71,-0.25,-1.9,-0.14,-0.25,0.5,0.43,0.14,-0.32,0.0,-6.18,0,0
2014/9/30,-0.17,1.89,0.55,-0.28,-1.28,-0.28,-0.32,-0.84,0.26,-0.89,0.07,0.11,-8.05,0,0
2014/10/8,1.64,-0.96,-1.0,1.75,-0.68,1.9,-0.39,-1.19,0.8,2.27,-0.95,-0.94,66.13,3,3
2014/10/14,-0.04,1.41,0.15,0.16,-0.41,0.32,0.11,-2.38,-0.28,1.86,0.65,0.38,1.0,0,0
